v;p;cat
Percepción Meritocrática de los padres;En Chile, los que se esfuerzan salen adelante;(4) Muy de acuerdo
Percepción Meritocrática de los padres;En Chile, los que se esfuerzan salen adelante;(1) Muy en desacuerdo
Percepción Meritocrática de los padres;Actualmente en Chile, para surgir en la vida ¿Cuán importante es: El trabajo duro?;(4) Muy importante
Percepción Meritocrática de los padres;Actualmente en Chile, para surgir en la vida ¿Cuán importante es: El trabajo duro?;(1) Nada importante
Sentido de justicia en la escuela;¿Qué promedio de notas obtuviste el año pasado?;max=7
Sentido de justicia en la escuela;¿Qué promedio de notas obtuviste el año pasado?;min = 1
Sentido de justicia en la escuela;¿Qué promedio de nota piensas que merecías?;max=7
Sentido de justicia en la escuela;¿Qué promedio de nota piensas que merecías?;min = 1
